lat,lon,name,operator,opening_hours,,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
49.4030736,15.5749758,ICOM,,Mo-Fr 05:00-21:00,,,,,,,,https://www.mbenzin.cz/
50.0877251,14.4913071,MOL,"MOL Česká republika, s.r.o.","Mo-Su,PH 06:00-22:00",,,,,,,,https://www.mbenzin.cz/
50.5711626,14.6446556,Benzina - Doksy,Orlen Benzina,24/7,,,,,,,,https://www.mbenzin.cz/
49.3952101,15.5683789,Tank Ono - ČS Jihlava,Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
50.0339542,14.5957167,"EuroOil, Praha, Uhříněves","Čepro, a.s.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.5456932,13.0463987,"MOL, Staňkov","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.5283628,12.9485320,Shell,Shell Czech Republic a.s.,24/7,,,,,,,,https://www.mbenzin.cz/
51.0050390,14.4533485,"MOL, Šluknov","MOL Česká republika, s.r.o.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.8611074,14.4789048,Vendys & V Chřibská,Vendys Petrol,,,,,,,,,https://www.mbenzin.cz/
49.3456357,16.0397548,"MOL, Velké Meziříčí - Karlov","MOL Česká republika, s.r.o.","Mo-Fr 05:00-22:00, Sa-Su 06:00-22:00",,,,,,,,https://www.mbenzin.cz/
50.9909868,14.3331858,tixexpress,,,,,,,,,,https://www.mbenzin.cz/
50.5893892,14.3489564,Benzina,,,,,,,,,,https://www.mbenzin.cz/
49.7471804,13.4192611,Avia,,,,,,,,,,https://www.mbenzin.cz/
50.0829913,14.4717297,OMV,,24/7,,,,,,,,https://www.mbenzin.cz/
49.4921891,17.1306248,Eurobit,Eurobit,,,,,,,,,https://www.mbenzin.cz/
49.7223828,17.2856589,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.6873608,18.3091089,Shell,Shell,,,,,,,,,https://www.mbenzin.cz/
49.4658573,18.1621680,"Orlen - Rožnov pod Radhoštěm, Horní Paseky",Orlen,24/7,,,,,,,,https://www.mbenzin.cz/
50.9183085,14.6078230,Eurobit Varnsdorf,,05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.0558255,16.7349797,Adosa Moutnice,ADOSA a.s.,05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.0955346,16.7160138,Bentel,,Mo-Su 00:00-24:00,,,,,,,,https://www.mbenzin.cz/
49.1617639,16.6373883,Makro,MAKRO Cash&Carry ČR s.r.o.,08:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.0703616,14.4869228,Prim Praha 10,PETRA s.r.o.,06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.0929802,14.5270521,,,24/7,,,,,,,,https://www.mbenzin.cz/
50.2394133,15.7022852,BeMi oil,,,,,,,,,,https://www.mbenzin.cz/
50.2407359,15.6248404,,,,,,,,,,,https://www.mbenzin.cz/
50.0271986,15.7622890,Shell,,,,,,,,,,https://www.mbenzin.cz/
50.5503567,15.9070802,ONO - Trutnov,Tank ONO s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
50.3765557,15.5390222,Shell,Shell,Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.3620036,15.6247667,Benzina - Hořice V Podkrkonoší,"Unipetrol RPA, s.r.o. – Benzina",24/7,,,,,,,,https://www.mbenzin.cz/
50.3278468,15.6363853,Tank Ono,Tank Ono,24/7,,,,,,,,https://www.mbenzin.cz/
49.3174688,14.1323917,"VS Petrol, Písek",VS PETROL s.r.o.,05:30-21:30,,,,,,,,https://www.mbenzin.cz/
49.3436429,14.0475227,RoBiN OIL Drhovle,RoBiN OIL s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.8613190,14.7909623,OMV,OMV,24/7,,,,,,,,https://www.mbenzin.cz/
49.7104617,17.0743068,Avia Litovel I,,05:00-20:00,,,,,,,,https://www.mbenzin.cz/
50.4236665,15.7298132,Kont,,,,,,,,,,https://www.mbenzin.cz/
49.3018150,14.1381810,"MOL, Písek - Hradišťská","MOL Česká republika, s.r.o.",05:30-22:00,,,,,,,,https://www.mbenzin.cz/
49.0551866,14.0735524,"KM-Prona, Vitějovice","KM - PRONA, a.s.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.2189948,16.5754426,Orlen,,,,,,,,,,https://www.mbenzin.cz/
49.9421803,16.1658942,Shell,,,,,,,,,,https://www.mbenzin.cz/
49.9429407,16.1643554,Orlen express,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",24/7,,,,,,,,https://www.mbenzin.cz/
50.1306871,15.9146697,"KM-Prona, Býšť","KM - PRONA, a.s.",24/7,,,,,,,,https://www.mbenzin.cz/
50.1840924,15.8557572,"Eurobit, Hradec Králové, Holická",EUROBIT - čerpací stanice s.r.o.,05:00-22:00,,,,,,,,https://www.mbenzin.cz/
50.0854339,14.5779777,Medos,,24/7,,,,,,,,https://www.mbenzin.cz/
50.2891046,14.4952175,Prim Obříství,PETRA s.r.o.,06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.1851845,16.4058079,,,,,,,,,,,https://www.mbenzin.cz/
